smiles	smiles-out
c1(/N=N\c2cc(S(=O)(=O)O)c3c(c2N)c(c(/N=N\c2c(cc(N(O)O)cc2)S(=O)(=O)O)c(S(=O)(=O)O)c3)O)ccc2c(cc(cc2c1S(=O)(=O)O)S(=O)(=O)O)O	c1(/N=N\c2cc(S(=O)(=O)O)c3c(c2N)c(c(/N=N\c2c(cc(N(O)O)cc2)S(=O)(=O)O)c(S(=O)(=O)O)c3)O)ccc2c(cc(cc2c1S(=O)(=O)O)S(=O)(=O)O)O
c1(ccc(N(c2ccc(c3ccc(N(c4ccccc4)c4ccc(cc4)/C=C/C=C/c4ccccc4)cc3)cc2)c2ccccc2)cc1)/C=C/C=C\c1ccccc1	c1(ccc(N(c2ccc(c3ccc(N(c4ccccc4)c4ccc(cc4)/C=C/C=C/c4ccccc4)cc3)cc2)c2ccccc2)cc1)/C=C/C=C\c1ccccc1
c1cc(cc2c1OCO2)c1nc(C(Cl)(Cl)Cl)nc(C(Cl)(Cl)Cl)n1	c1cc(cc2c1OCO2)c1nc(C(Cl)(Cl)Cl)nc(C(Cl)(Cl)Cl)n1
C1OS(=O)(=O)CS(=O)(=O)O1	C1OS(=O)(=O)CS(=O)(=O)O1
C1(CC(C(=O)C(=C1/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C1=C(C(=O)C(CC1(C)C)O)C)\C)\C)/C)/C)C)O)(C)C	C1(CC(C(=O)C(=C1/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C1=C(C(=O)C(CC1(C)C)O)C)\C)\C)/C)/C)C)O)(C)C
C(C(CC(CC(O)C)O)O)C	C(C(CC(CC(O)C)O)O)C
N#Cc1cccc(c1)c1ncnc(N2CCN(CC2)c2ccncc2)c1	N#Cc1cccc(c1)c1ncnc(N2CCN(CC2)c2ccncc2)c1
Clc1c(Cl)ccc(c1)c1ncnc(N2CCN(CC2)c2ccncc2)c1	Clc1c(Cl)ccc(c1)c1ncnc(N2CCN(CC2)c2ccncc2)c1
c1cccc(c1C(=O)O)COc1ccc(CC(=O)O)cc1	c1cccc(c1C(=O)O)COc1ccc(CC(=O)O)cc1
c1cccc(c1C(=O)OC)COc1ccc(CC(=O)OC)cc1	c1cccc(c1C(=O)OC)COc1ccc(CC(=O)OC)cc1
[nH]1c2c(c(C3OCCN(CCC)C3)ccc2)cc1	[nH]1c2c(c(C3OCCN(CCC)C3)ccc2)cc1
O1C(c2c3c(NC(=O)C3(Br)Br)ccc2)CN(CCC)CC1	O1C(c2c3c(NC(=O)C3(Br)Br)ccc2)CN(CCC)CC1
C(c1ccccc1C1=CCNCC1)(F)(F)F	C(c1ccccc1C1=CCNCC1)(F)(F)F
C(CC(C)(C)C)(CP(=O)(OC)CC(CC(C)(C)C)C)C	C(CC(C)(C)C)(CP(=O)(OC)CC(CC(C)(C)C)C)C
OCC1CCC(COC=C)CC1	OCC1CCC(COC=C)CC1
Oc1cc2c(c3c4Cc5c(c4c4Cc6cc(O)ccc6c4c3C2)ccc(O)c5)cc1	Oc1cc2c(c3c4Cc5c(c4c4Cc6cc(O)ccc6c4c3C2)ccc(O)c5)cc1
C1CCCCC1/N=C/1\N(C2CCCCC2)C(=O)/C(=C\c2ccc(N(CC)CC)cc2)/O1	C1CCCCC1/N=C/1\N(C2CCCCC2)C(=O)/C(=C\c2ccc(N(CC)CC)cc2)/O1
c1cc(NCC(=O)O)ccc1	c1cc(NCC(=O)O)ccc1
c1(C)ccc(S(=O)(=O)O/N=C(/c2ccc(cc2)OC)\C#N)cc1	c1(C)ccc(S(=O)(=O)O/N=C(/c2ccc(cc2)OC)\C#N)cc1
O=C1N(/C(=N/C(C)C)/SC1)c1c(cccc1C)C	O=C1N(/C(=N/C(C)C)/SC1)c1c(cccc1C)C
N1(C(=O)CS/C/1=N\CC=C)c1ccccc1	N1(C(=O)CS/C/1=N\CC=C)c1ccccc1
C(=C)(C(=O)OCCOC(=O)CCC(=O)O)C	C(=C)(C(=O)OCCOC(=O)CCC(=O)O)C
N(c1ccccc1)(c1ccc(c2ccc(N(c3ccc(/C=C\C=C\c4ccccc4)cc3)c3ccccc3)cc2)cc1)c1ccc(/C=C/C=C/c2ccccc2)cc1	N(c1ccccc1)(c1ccc(c2ccc(N(c3ccc(/C=C\C=C\c4ccccc4)cc3)c3ccccc3)cc2)cc1)c1ccc(/C=C/C=C/c2ccccc2)cc1
C1(OCC(O1)CSc1c2ccccc2nc(c1O)C1C(=O)c2c(C1=O)cccc2)(CC)C	C1(OCC(O1)CSc1c2ccccc2nc(c1O)C1C(=O)c2c(C1=O)cccc2)(CC)C
O(CCNC(=O)C(=Cc1occc1)C(=O)NCCOCCO)CCO	O(CCNC(=O)C(=Cc1occc1)C(=O)NCCOCCO)CCO
C1C(O1)COc1ccc(Cc2ccc(OCC(O)COC(=O)c3ccc(C(=O)OCCOC(=O)C(=C)C)cc3)cc2)cc1	C1C(O1)COc1ccc(Cc2ccc(OCC(O)COC(=O)c3ccc(C(=O)OCCOC(=O)C(=C)C)cc3)cc2)cc1
C1(C(COC(=O)C=C)CCOC(=O)CCC(=O)OCC(COCCOC(=O)C(=C)C)OC(=O)c2c(cccc2)C(=O)OCC(O)COc2ccc1cc2)(c1ccc(cc1)OCC1CO1)C	C1(C(COC(=O)C=C)CCOC(=O)CCC(=O)OCC(COCCOC(=O)C(=C)C)OC(=O)c2c(cccc2)C(=O)OCC(O)COc2ccc1cc2)(c1ccc(cc1)OCC1CO1)C
C1(OC1)COc1ccc(C(c2ccc(OCC(O)COC(=O)c3c(C(=O)OC(COCCCCOC(=O)C(=C)C)COC(=O)C=C)cccc3)cc2)(C)C)cc1	C1(OC1)COc1ccc(C(c2ccc(OCC(O)COC(=O)c3c(C(=O)OC(COCCCCOC(=O)C(=C)C)COC(=O)C=C)cccc3)cc2)(C)C)cc1
C(COc1ccc(cc1)Cc1ccc(OCC2CO2)cc1)(O)COC(=O)c1c(C(=O)OCCCOC(=O)C=C)ccc(C(=O)OCCOC(=O)C(=C)C)c1	C(COc1ccc(cc1)Cc1ccc(OCC2CO2)cc1)(O)COC(=O)c1c(C(=O)OCCCOC(=O)C=C)ccc(C(=O)OCCOC(=O)C(=C)C)c1
C(OC(=O)c1ccc(C(=O)OCCOC(=O)C(=C)C)cc1C(=O)OCC(O)COc1ccc(C(c2ccc(OCC3CO3)cc2)(C)C)cc1)COC(=O)C=C	C(OC(=O)c1ccc(C(=O)OCCOC(=O)C(=C)C)cc1C(=O)OCC(O)COc1ccc(C(c2ccc(OCC3CO3)cc2)(C)C)cc1)COC(=O)C=C
c1(c2c(cccc2)c2nn(nn2)P)ccc(cc1)Cn1c(CCC)nc(C(O)(C)C)c1C(=O)O	c1(c2c(cccc2)c2nn(nn2)P)ccc(cc1)Cn1c(CCC)nc(C(O)(C)C)c1C(=O)O
C1CCCCC1C	C1CCCCC1C
O=C(c1oc(nn1)c1ccncc1)C(N)CC	O=C(c1oc(nn1)c1ccncc1)C(N)CC
C1(N=N1)(c1ccc(cc1)CN1C(=O)C=CC1=O)C(F)(F)F	C1(N=N1)(c1ccc(cc1)CN1C(=O)C=CC1=O)C(F)(F)F
O=C1N(C(=O)C=C1)c1ccc(Cc2ccc(N3C(=O)C=CC3=O)cc2)cc1	O=C1N(C(=O)C=C1)c1ccc(Cc2ccc(N3C(=O)C=CC3=O)cc2)cc1
c1(OC)ccc2c(c1)ccc(C(=O)C)c2	c1(OC)ccc2c(c1)ccc(C(=O)C)c2
Nc1ccc(S(=O)(=O)NS(=O)(=O)CCCCCCCC)cc1	Nc1ccc(S(=O)(=O)NS(=O)(=O)CCCCCCCC)cc1
C(C(COC(=O)C=C)CCCC)C	C(C(COC(=O)C=C)CCCC)C
c1(cccc(c2oc3c(cc4c(oc(c5cc(N)ccc5)n4)c3)n2)c1)N	c1(cccc(c2oc3c(cc4c(oc(c5cc(N)ccc5)n4)c3)n2)c1)N
c1(N)cc(c2oc3c(n2)cc2c(nc(c4ccc(N)cc4)o2)c3)ccc1	c1(N)cc(c2oc3c(n2)cc2c(nc(c4ccc(N)cc4)o2)c3)ccc1
O=C(OCC(=C)C)C1C(C2C=CC1C2C)C(=O)OCC(=C)C	O=C(OCC(=C)C)C1C(C2C=CC1C2C)C(=O)OCC(=C)C
O1C2C1C1C(C(C2C1C)C(=O)OCC(=C)C)C(=O)OCC=C	O1C2C1C1C(C(C2C1C)C(=O)OCC(=C)C)C(=O)OCC=C
C(=O)(O/N=C(/c1cc2c3cc(C(=O)c4ccc(SCCOC(=O)C=C)cc4)ccc3n(c2cc1)CC)\C)C(F)(F)F	C(=O)(O/N=C(/c1cc2c3cc(C(=O)c4ccc(SCCOC(=O)C=C)cc4)ccc3n(c2cc1)CC)\C)C(F)(F)F
O(/N=C(/c1cc2c3cc(C(=O)c4c(C)cc(SCCOC(=O)C=C)cc4)ccc3n(c2cc1)CC)\C)C(=O)C	O(/N=C(/c1cc2c3cc(C(=O)c4c(C)cc(SCCOC(=O)C=C)cc4)ccc3n(c2cc1)CC)\C)C(=O)C
ClC(=O)c1c(Cl)c(OCCn2nnnc2)c(Cl)cc1	ClC(=O)c1c(Cl)c(OCCn2nnnc2)c(Cl)cc1
C(Oc1c2=NC(=O)C(n2ccc1)(Cc1ccccc1)Cc1ccccc1)(C)C	C(Oc1c2=NC(=O)C(n2ccc1)(Cc1ccccc1)Cc1ccccc1)(C)C
Clc1c2=NC(=O)C(n2cc(Cl)c1)(Cc1ccccc1)Cc1ccccc1	Clc1c2=NC(=O)C(n2cc(Cl)c1)(Cc1ccccc1)Cc1ccccc1
n12C3(CCCC3)C(=O)N=c1c1CCCCc1cc2	n12C3(CCCC3)C(=O)N=c1c1CCCCc1cc2
C1CN(CCOc2ccc(cc2)C(c2ccc(cc2)OCCN2CCCCC2)C(c2ccccc2)C=C)CCC1	C1CN(CCOc2ccc(cc2)C(c2ccc(cc2)OCCN2CCCCC2)C(c2ccccc2)C=C)CCC1
c1(ccc(C(c2ccc(OCCN3CCOCC3)cc2)C(C=C)c2ccccc2)cc1)OCCN1CCOCC1	c1(ccc(C(c2ccc(OCCN3CCOCC3)cc2)C(C=C)c2ccccc2)cc1)OCCN1CCOCC1
O=C(Nc1c(N)ccc(c2sccc2)c1)c1ccc(F)cc1	O=C(Nc1c(N)ccc(c2sccc2)c1)c1ccc(F)cc1
O=C(Nc1c(N)ccc(c2sccc2)c1)c1ccc(CN2CCOCC2)cc1	O=C(Nc1c(N)ccc(c2sccc2)c1)c1ccc(CN2CCOCC2)cc1
O1P(=O)c2c(c3ccccc13)cccc2	O1P(=O)c2c(c3ccccc13)cccc2
c12c(c(=O)oc1=O)cc1c(c2)c(=O)oc1=O	c12c(c(=O)oc1=O)cc1c(c2)c(=O)oc1=O
C(=C)(C(=O)O)C	C(=C)(C(=O)O)C
COc1ccc(N(c2ccc(/C=C\c3ccc(/C=C\c4ccc(N(c5ccc(OC)cc5)c5ccccc5)cc4)cc3)cc2)c2ccccc2)cc1	COc1ccc(N(c2ccc(/C=C\c3ccc(/C=C\c4ccc(N(c5ccc(OC)cc5)c5ccccc5)cc4)cc3)cc2)c2ccccc2)cc1
c1ccc(cc1)c1ccc(cc1)c1c2c(c3ccccc3)c3ccccc3c(c2c(c2c1cccc2)c1ccc(cc1)c1ccccc1)c1ccccc1	c1ccc(cc1)c1ccc(cc1)c1c2c(c3ccccc3)c3ccccc3c(c2c(c2c1cccc2)c1ccc(cc1)c1ccccc1)c1ccccc1
O=c1oc2cc(C(=O)O)c(cc2c(c1)c1ccc(F)cc1)C	O=c1oc2cc(C(=O)O)c(cc2c(c1)c1ccc(F)cc1)C
n1c(cn(c2c(OC)cc(cc2)/C=C/2\CCCN(Cc3ccc(C(C)(C)C)cc3)C2=O)c1)C	n1c(cn(c2c(OC)cc(cc2)/C=C/2\CCCN(Cc3ccc(C(C)(C)C)cc3)C2=O)c1)C
OC(c1c(n2ccnc2)ccc(/C=C/C(=O)NC2CCc3ccccc23)c1)C	OC(c1c(n2ccnc2)ccc(/C=C/C(=O)NC2CCc3ccccc23)c1)C
O=C1N(Cc2ccc3cc(N4CCOCC4)ccc3c2)CCC/C/1=C\c1ccc(n2cnc(c2)C)c(OC)c1	O=C1N(Cc2ccc3cc(N4CCOCC4)ccc3c2)CCC/C/1=C\c1ccc(n2cnc(c2)C)c(OC)c1
n1c(cn(c2c(OC)cc(cc2)/C=C/2\CCCN(C(CO)c3cc(F)c(F)c(F)c3)C2=O)c1)C	n1c(cn(c2c(OC)cc(cc2)/C=C/2\CCCN(C(CO)c3cc(F)c(F)c(F)c3)C2=O)c1)C
n1(ccnc1)c1ccc(cc1)/C=C/C(=O)NC1c2c(c3ccccc13)cccc2	n1(ccnc1)c1ccc(cc1)/C=C/C(=O)NC1c2c(c3ccccc13)cccc2
c12C(=O)OC(=O)c1cc(C(=O)Oc1ccc(OC(=O)c3ccc(cc3)C(=O)Oc3ccc(OC(=O)c4ccc5c(C(=O)OC5=O)c4)cc3)cc1)cc2	c12C(=O)OC(=O)c1cc(C(=O)Oc1ccc(OC(=O)c3ccc(cc3)C(=O)Oc3ccc(OC(=O)c4ccc5c(C(=O)OC5=O)c4)cc3)cc1)cc2
C(C)C(CC(CC(O)C)O)O	C(C)C(CC(CC(O)C)O)O
c1cc(ccc1C)C	c1cc(ccc1C)C
O=C1N(CC=C)C(=O)C2C(C=CCC12)C	O=C1N(CC=C)C(=O)C2C(C=CCC12)C
C(CCC)CC	C(CCC)CC
C12(CC(=O)N(CC=C)C1=O)CC=CCC2	C12(CC(=O)N(CC=C)C1=O)CC=CCC2
O=C1N(CC=C)C(=O)C2(C3C4C(C2)C4=C3)C1	O=C1N(CC=C)C(=O)C2(C3C4C(C2)C4=C3)C1
C1(CCC(CC1)C)C	C1(CCC(CC1)C)C
c1(cc(ccc1)C)C	c1(cc(ccc1)C)C
O(CC=C)C(=O)C1CC=CCC1C(=O)OCC=C	O(CC=C)C(=O)C1CC=CCC1C(=O)OCC=C
c1cccc(c2cccc(N(c3cccc(/C=C/c4ccccc4)c3)c3cc(c4ccccc4)ccc3)c2)c1	c1cccc(c2cccc(N(c3cccc(/C=C/c4ccccc4)c3)c3cc(c4ccccc4)ccc3)c2)c1
O=C1N(CCOC1)Cc1ccccc1	O=C1N(CCOC1)Cc1ccccc1
C1C(CC2C(C1)C(=O)OC2=O)C(=O)O	C1C(CC2C(C1)C(=O)OC2=O)C(=O)O
C1CCN(c2c1cc(/N=N\c1nc(c(C(=O)OCC)cn1)C(F)(F)F)c(NS(=O)(=O)C(F)(F)F)c2)CC(C)C	C1CCN(c2c1cc(/N=N\c1nc(c(C(=O)OCC)cn1)C(F)(F)F)c(NS(=O)(=O)C(F)(F)F)c2)CC(C)C
O=C(O/N=C(/C(=O)c1ccc2n(c3c(c2c1)cc(cc3)C(=O)c1c(C)cccc1)CC)\C(=O)c1c2ccccc2ccc1)C	O=C(O/N=C(/C(=O)c1ccc2n(c3c(c2c1)cc(cc3)C(=O)c1c(C)cccc1)CC)\C(=O)c1c2ccccc2ccc1)C
c1ccc2COc3c(C(=O)c2c1)cc(CC(=O)OC(C)(C)C)cc3	c1ccc2COc3c(C(=O)c2c1)cc(CC(=O)OC(C)(C)C)cc3
O(C(=O)C1CCC2C(C1)O2)CC(C)(C)CC(CC(=O)OCC1CC2C(CC1)O2)C	O(C(=O)C1CCC2C(C1)O2)CC(C)(C)CC(CC(=O)OCC1CC2C(CC1)O2)C
n1c(n[nH]c1S)N	n1c(n[nH]c1S)N
